"","state","date","month","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"5283","Missouri",2020-08-23,8,NA,74330,1234.76804941744,914833,NA,1.9173165485663,14905.8041902895,NA
"5284","Missouri",2020-08-24,8,NA,75144,1248.03093413071,919712,NA,1.89694113346476,14985.3000312183,NA
"5285","Missouri",2020-08-25,8,NA,75920,1260.95165597055,924078,NA,1.89947021579015,15056.4373219531,NA
"5286","Missouri",2020-08-26,8,NA,77262,1282.99672110206,932140,NA,1.88080210304408,15187.795278413,NA
"5287","Missouri",2020-08-27,8,NA,78726,1306.9644157129,943023,NA,1.85503777395467,15365.1171142048,NA
"5288","Missouri",2020-08-28,8,NA,80172,1330.72029521161,954633,NA,1.83661475168969,15554.2843028057,NA
"5289","Missouri",2020-08-29,8,NA,81640,1355.09532657654,965326,NA,1.83724509426703,15728.5103792664,NA
"5290","Missouri",2020-08-30,8,NA,82941,1376.37459861036,974237,NA,1.81475957099226,15873.7014918953,NA
"5291","Missouri",2020-08-31,8,NA,84088,1395.29131747045,982955,NA,1.80650434985695,16015.7479647826,NA
"5292","Missouri",2020-09-01,9,NA,85176,1413.26301506103,991244,NA,1.80082547441721,16150.8045389697,NA
"5293","Missouri",2020-09-02,9,NA,86638,1437.34476396302,998097,NA,1.78879114899791,16262.4636900017,NA
"5294","Missouri",2020-09-03,9,NA,88053,1460.53037200599,1008078,NA,1.7693191579558,16425.0888157059,NA
"5295","Missouri",2020-09-04,9,NA,89621,1486.42069609615,1021730,NA,1.76152058578507,16647.527270381,NA
"5296","Missouri",2020-09-05,9,NA,91503,1518.07890862426,1038301,NA,1.79025662491548,16917.5263644641,NA
"5297","Missouri",2020-09-06,9,NA,92807,1539.60258271054,1045843,NA,1.78321974347035,17040.4117164389,NA
"5298","Missouri",2020-09-07,9,NA,93719,1554.49481444019,1054385,NA,1.76823260591577,17179.5905385774,NA
"5299","Missouri",2020-09-08,9,NA,94491,1567.12225381707,1061230,NA,1.75710379388861,17291.1193418481,NA
"5300","Missouri",2020-09-09,9,NA,95802,1588.67851484368,1070909,NA,1.74556941253692,17448.8238395628,NA
"5301","Missouri",2020-09-10,9,NA,97025,1608.78465702571,1083924,NA,1.73489436691041,17660.8833537436,NA
"5302","Missouri",2020-09-11,9,NA,98548,1633.71366637621,1096572,NA,1.7154027207085,17866.9631643744,NA
"5303","Missouri",2020-09-12,9,NA,100562,1666.65906304726,1113373,NA,1.68931469351843,18140.7097565951,NA
"5304","Missouri",2020-09-13,9,NA,102266,1694.47201661673,1128700,NA,1.66447109051223,18390.4397737945,NA
"5305","Missouri",2020-09-14,9,NA,103540,1715.34395189646,1145207,NA,1.65086722772089,18659.3960857871,NA
"5306","Missouri",2020-09-15,9,NA,104881,1737.48677784896,1155752,NA,1.6467079906599,18831.2107286635,NA
"5307","Missouri",2020-09-16,9,NA,106088,1757.29963756805,1164383,NA,1.63648669948912,18971.8396696466,NA
"5308","Missouri",2020-09-17,9,NA,107775,1785.06371072703,1178581,NA,1.62655056272078,19203.1743590312,NA
"5309","Missouri",2020-09-18,9,NA,109580,1814.92964153714,1190380,NA,1.62492144716761,19395.4210134929,NA
"5310","Missouri",2020-09-19,9,NA,111039,1838.94621655847,1202624,NA,1.61699036007939,19594.9182621776,NA
"5311","Missouri",2020-09-20,9,NA,112344,1860.22548859229,1212508,NA,1.5993693614785,19755.9629212758,NA
"5312","Missouri",2020-09-21,9,NA,113699,1882.4986623061,1219559,NA,1.59083237404468,19870.8481794002,NA
"5313","Missouri",2020-09-22,9,NA,114745,1900.0141427321,1241749,NA,1.60103591397112,20232.4002823332,NA
"5314","Missouri",2020-09-23,9,NA,116267,1925.96964070291,1244563,NA,1.63952455479887,20278.250107374,NA
"5315","Missouri",2020-09-24,9,NA,117610,1948.06358624492,1259531,NA,1.63180301268808,20522.1307687846,NA
"5316","Missouri",2020-09-25,9,NA,119465,1978.93971220518,1273165,NA,1.63927677512844,20744.2759409968,NA
"5317","Missouri",2020-09-26,9,NA,121452,2012.34132604081,1289169,NA,1.66307709746895,21005.036637497,NA
"5318","Missouri",2020-09-27,9,NA,122973,2037.10740068967,1298106,NA,1.64205845184202,21150.6513803502,NA
"5319","Missouri",2020-09-28,9,NA,124208,2057.29501022252,1302958,NA,1.62911337266859,21229.7072975846,NA
"5320","Missouri",2020-09-29,9,NA,124465,2061.62907328607,1303034,NA,1.63280144786653,21230.945601317,NA
"5321","Missouri",2020-09-30,9,NA,124646,2064.6270717962,1304385,NA,1.63279801128517,21252.9580795082,NA
"5322","Missouri",2020-10-01,10,NA,124832,2067.73912459747,1315418,NA,1.63428049107213,21432.7239358246,NA
"5323","Missouri",2020-10-02,10,NA,128835,2134.13501551464,1326189,NA,1.63840557027355,21608.220902958,NA
"5324","Missouri",2020-10-03,10,NA,130453,2161.00294781462,1339556,NA,1.64140842946543,21826.0157186365,NA
"5325","Missouri",2020-10-04,10,NA,131893,2235.54557381366,1350745,NA,1.64644145621515,22008.3233562984,NA
"5326","Missouri",2020-10-05,10,NA,133186,2205.71222994388,1358668,NA,1.61626309335618,22137.4165204056,NA
"5327","Missouri",2020-10-06,10,NA,134118,2221.23990700991,1367139,NA,1.62036867238331,22275.4385061625,NA
"5328","Missouri",2020-10-07,10,NA,135182,2239.04866989886,1958461,NA,1.62858390336196,31910.1258703157,NA
"5329","Missouri",2020-10-08,10,NA,136719,2264.58053764541,1979390,NA,1.6318072913294,32251.1319073723,NA
"5330","Missouri",2020-10-09,10,NA,138606,2297.42817349548,2000979,NA,1.6999638305568,32602.8916347369,NA
"5331","Missouri",2020-10-10,10,NA,143258,2373.66532039154,2075699,NA,1.66389807937837,33820.3397253703,NA
